과목,강좌명,강사,강좌구분,난이도,링크
국어,"[(고1, 2를 위한) 2028 수능개념] 한병훈의 퀀텀점프",한병훈,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000811
국어,"[(고1, 2를 위한) 2028 수능개념] 이현진의 화언장담 - 화법과 언어",이현진,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000812
국어,"[(고1, 2를 위한) 2028 수능개념] 김철회의 알고리즘 독서와 작문",김철회,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000813
국어,"[(고1, 2를 위한) 2028 수능개념] 남궁민의 개기일식 문학",남궁민,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000814
국어,[국어의 원리] 고전 시가 독해,조은아,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000726
국어,[국어의 원리] 고전 시가 독해 워크북,김진원,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000727
국어,[국어의 원리] 현대시 독해,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000728
국어,[국어의 원리] 독서,차해나,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000729
국어,[국어의 원리] 수능 국어 문법,김상태,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000730
국어,[2026 올림포스 전국연합학력평가 기출문제집] 국어(고1),김민정,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000716
국어,[1등급 2주 특강] 고1 학평 기출 - 국어(2학기 기말 대비),이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000777
국어,"[2026년, 내 등급은?] 예비고1 국어",이영현,입문,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000587
영어,[2026 전국영어듣기평가] 고1 해설 (4월),이자인,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000069
영어,"[(고1, 2를 위한) 2028 수능개념] 김예령의 구문 Fit",김예령,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000820
영어,"[(고1, 2를 위한) 2028 수능개념] 김제희의 Close-Up 구문·구조 독해",김제희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000821
영어,"[(고1, 2를 위한) 2028 수능개념] 이자인의 독해의 디자인",이자인,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000822
영어,"[(고1, 2를 위한) 2028 수능개념] 박재창의 BETTERY -독해력, 한 권으로 풀충전-",박재창,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000823
영어,"[(고1, 2를 위한) 2028 수능개념] 김용지의 용~한마리 영어듣기 Basic",김용지,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000824
영어,[하루 6개 1등급 영어독해] 전국연합학력평가 기출 고1,김용지,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000731
영어,[수능특강 Light] 영어 (2022 개정),이상미,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000724
영어,[수능특강 Light] 영어독해연습 (2022 개정),김보라,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000725
영어,[2026 올림포스 전국연합학력평가 기출문제집] 영어독해(고1),박재창,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000722
영어,[1등급 2주 특강] 고1 학평 기출 - 영어(10월),김현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000779
영어,"[2026년, 내 등급은?] 예비고1 영어",김제희,입문,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000589
영어,[1등급 2주 특강] 고1 학평 기출 - 영어(9월),김제희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000572
영어,[2025 전국영어듣기평가] 고1 해설 (9월),김제희,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000577
영어,[2028 수능 스타트] 영어 (2022 개정),이자인,입문,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000506
영어,[2026 전국영어듣기평가] 고1 해설 (4월),이자인,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000069
영어,"[(고1, 2를 위한) 2028 수능개념] 김예령의 구문 Fit",김예령,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000820
영어,"[(고1, 2를 위한) 2028 수능개념] 김제희의 Close-Up 구문·구조 독해",김제희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000821
영어,"[(고1, 2를 위한) 2028 수능개념] 이자인의 독해의 디자인",이자인,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000822
영어,"[(고1, 2를 위한) 2028 수능개념] 박재창의 BETTERY -독해력, 한 권으로 풀충전-",박재창,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000823
영어,"[(고1, 2를 위한) 2028 수능개념] 김용지의 용~한마리 영어듣기 Basic",김용지,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000824
영어,[하루 6개 1등급 영어독해] 전국연합학력평가 기출 고1,김용지,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000731
영어,[수능특강 Light] 영어 (2022 개정),이상미,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000724
영어,[수능특강 Light] 영어독해연습 (2022 개정),김보라,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000725
영어,[2026 올림포스 전국연합학력평가 기출문제집] 영어독해(고1),박재창,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000722
영어,[1등급 2주 특강] 고1 학평 기출 - 영어(10월),김현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000779
영어,"[2026년, 내 등급은?] 예비고1 영어",김제희,입문,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000589
영어,[1등급 2주 특강] 고1 학평 기출 - 영어(9월),김제희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000572
영어,[2025 전국영어듣기평가] 고1 해설 (9월),김제희,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000577
영어,[2028 수능 스타트] 영어 (2022 개정),이자인,입문,기초,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000506
영어,[2026 전국영어듣기평가] 고1 해설 (4월),이자인,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000069
영어,"[(고1, 2를 위한) 2028 수능개념] 김예령의 구문 Fit",김예령,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000820
영어,"[(고1, 2를 위한) 2028 수능개념] 김제희의 Close-Up 구문·구조 독해",김제희,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000821
영어,"[(고1, 2를 위한) 2028 수능개념] 이자인의 독해의 디자인",이자인,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000822
영어,"[(고1, 2를 위한) 2028 수능개념] 박재창의 BETTERY -독해력, 한 권으로 풀충전-",박재창,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000823
영어,"[(고1, 2를 위한) 2028 수능개념] 김용지의 용~한마리 영어듣기 Basic",김용지,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000824
영어,[하루 6개 1등급 영어독해] 전국연합학력평가 기출 고1,김용지,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000731
영어,[수능특강 Light] 영어 (2022 개정),이상미,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000724
영어,[수능특강 Light] 영어독해연습 (2022 개정),김보라,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000725
영어,[2026 올림포스 전국연합학력평가 기출문제집] 영어독해(고1),박재창,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000722
영어,[1등급 2주 특강] 고1 학평 기출 - 영어(10월),김현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000779
